District,2006,2011,2016
Central and Western,250064,251519,243266
Wan Chai,155196,152608,180123
Eastern,587690,588094,555034
Southern,275162,278655,274994
Yau Tsim Mong,280548,307878,342970
Sham Shui Po,365540,380855,405869
Kowloon City,362501,377351,418732
Wong Tai Sin,423521,420183,425235
Kwun Tong,587423,622152,648541
Kwai Tsing,523300,511167,520572
Tsuen Wan,288728,304637,318916
Tuen Mun,502035,487546,489299
Yuen Long,534192,578529,614178
North,280730,304134,315270
Tai Po,293542,296853,303926
Sha Tin,607544,630273,659794
Sai Kung,406442,436627,461864
Islands,137122,141327,156801
